; 				LaTeX热键触发表

; 每行用Tab键，最多分出3个字段
; 第1个字段代表LaTex“键”
; 第2个字段代表LaTex对应“Unicode”或“文字描述”
; 第3个字段（如果存在的话）代表LaTex对应“LaTex块”
; 如果第2个字段以:开头，表明只适用于unicode模式. 【这种情况下禁止“第1个字段”在“第2个字段”中完整出现】
; “第1个字段”在“第2个字段”中完整出现，表明只适用于latex助手模式. 【这种情况下禁止如果第2个字段以:开头】



; 下标和上标 https://katex.org/docs/supported.html#line-breaks

\genfrac	复杂分数 \genfrac ( ] {2pt}{1}a{a+1}	{Text}\genfrac ( ] {2pt}{1}a{a+1}##{Left 5}
\over	分数 {a \over b}	{Text}{a \over b}##{Left 9}
\dfrac	大分数 \dfrac{a}{b}	{Text}\dfrac{a}{b}##{Left 4}
\above	粗杠分数 {a \above{2pt} b+1}	{Text}{a \above{2pt} b+1}##{Left 17}
\cfrac	连分数 \cfrac{a}{1 + \cfrac{1}{b}}	{Text}\cfrac{a}{1 + \cfrac{1}{b}}##{Left 19}
\binom	组合数 \binom{n}{k}	{Text}\binom{n}{k}##{Left 4}
\dbinom	大组合数 \dbinom{n}{k}	{Text}\dbinom{n}{k}##{Left 4}
\brace	花括组合数 {n\brace k}	{Text}{n\brace k}##{Left 9}
\choose	组合数 {n \choose k}	{Text}{n \choose k}##{Left 11}
\tbinom	组合数 \tbinom{n}{k}	{Text}\tbinom{n}{k}##{Left 4}
\brack	方括组合数 {n\brack k}	{Text}{n\brack k}##{Left 9}


; 关系

\doteqdot	≑
\Doteq	≑
\lessapprox	⪅
\smile	⌣
\smallsmile	⌣
\eqcirc	≖
\lesseqgtr	⋚
\sqsubset	⊏
\lesseqqgtr	⪋
\sqsubseteq	⊑
\lessgtr	≶
\sqsupset	⊐
\approx	≈
\lesssim	≲
\sqsupseteq	⊒
\ll	≪
\Subset	⋐
\eqsim	≂
\lll	⋘
\subset	⊂
\sub	⊂
\approxeq	≊
\eqslantgtr	⪖
\llless	⋘
\subseteq	⊆
\sube	⊆
\asymp	≍
\eqslantless	⪕
\subseteqq	⫅
\backepsilon	∍
\equiv	≡
\mid	∣
\succ	≻
\backsim	∽
\fallingdotseq	≒
\models	⊨
\succapprox	⪸
\backsimeq	⋍
\frown	⌢
\multimap	⊸
\succcurlyeq	≽
\between	≬
\geq	≥
\ge	≥
\succeq	⪰
\bowtie	⋈
\owns	∋
\succsim	≿
\bumpeq	≏
\geqq	≧
\parallel	∥
\Supset	⋑
\Bumpeq	≎
\geqslant	⩾
\perp	⊥
\supset	⊃
\circeq	≗
\gg	≫
\pitchfork	⋔
\supseteq	⊇
\supe	⊇
\ggg	⋙
\prec	≺
\supseteqq	⫆
\gggtr	⋙
\precapprox	⪷
\thickapprox	≈
\preccurlyeq	≼
\gtrapprox	⪆
\preceq	⪯
\trianglelefteq	⊴
\gtreqless	⋛
\precsim	≾
\triangleq	≜
\gtreqqless	⪌
\propto	∝
\trianglerighteq	⊵
\gtrless	≷
\risingdotseq	≓
\varpropto	∝
\gtrsim	≳
\vartriangle	△
\cong	≅
\shortparallel	∥
\vartriangleleft	⊲
\curlyeqprec	⋞
\in	∈
\isin	∈
\vartriangleright	⊳
\curlyeqsucc	⋟
\Join	⋈
\dashv	⊣
\le	≤
\vdash	⊢
\leq	≤
\simeq	≃
\vDash	⊨
\doteq	≐
\leqq	≦
\smallfrown	⌢
\Vdash	⊩
\leqslant	⩽
\Vvdash	⊪
\not	≠
\gnapprox	⪊
\gneq	⪈
\gneqq	≩
\gnsim	⋧
\gvertneqq	≩
\lnapprox	⪉
\lneq	⪇
\lneqq	≨
\lnsim	⋦
\lvertneqq	≨
\ncong	≆
\ne	≠
\neq	≠
\ngeq	≱
\ngtr	≯
\nleq	≰
\nless	≮
\nmid	∤
\notin	∉
\nparallel	∦
\nprec	⊀
\npreceq	⋠
\nshortmid	∤
\nshortparallel	∦
\nsim	≁
\nsubseteq	⊈
\nsucc	⊁
\nsucceq	⋡
\nsupseteq	⊉
\ntriangleleft	⋪
\ntrianglelefteq	⋬
\ntriangleright	⋫
\ntrianglerighteq	⋭
\nvdash	⊬
\nvDash	⊭
\nVDash	⊯
\nVdash	⊮
\precnapprox	⪹
\precneqq	⪵
\precnsim	⋨
\subsetneq	⊊
\subsetneqq	⫋
\succnapprox	⪺
\succneqq	⪶
\succnsim	⋩
\supsetneq	⊋
\supsetneqq	⫌
\varsubsetneq	⊊
\varsubsetneqq	⫋
\varsupsetneq	⊋
\varsupsetneqq	⫌
\sim	∼
\thicksim	∼
\shortmid	∣
\gt	>
\lt	<
\ngeqq	≩
\ngeqslant	≱
\nleqq	≨
\nleqslant	≰
\nsubseteqq	⊈
\nsupseteqq	⊉


; 箭头 https://katex.org/docs/supported.html#arrows

\circlearrowleft	↺
\circlearrowright	↻
\curvearrowleft	↶
\curvearrowright	↷
\Darr	⇓
\dArr	⇓
\darr	↓
\dashleftarrow	⇠
\dashrightarrow	⇢
\downarrow	↓
\Downarrow	⇓
\downdownarrows	⇊
\downharpoonleft	⇃
\downharpoonright	⇂
\gets	←
\hookleftarrow	↩
\hookrightarrow	↪
\iff	⟺
\impliedby	⟸
\implies	⟹
\Harr	⇔
\harr	↔
\leadsto	⇝
\leftarrow	←
\Leftarrow	⇐
\leftarrowtail	↢
\leftharpoondown	↽
\leftharpoonup	↼
\leftleftarrows	⇇
\leftrightarrow	↔
\Leftrightarrow	⇔
\leftrightarrows	⇆
\leftrightharpoons	⇋
\leftrightsquigarrow	↭
\Lleftarrow	⇚
\longleftarrow	⟵
\Longleftarrow	⟸
\longleftrightarrow	⟷
\Longleftrightarrow	⟺
\longmapsto	⟼
\longrightarrow	⟶
\Longrightarrow	⟹
\looparrowleft	↫
\looparrowright	↬
\Lrarr	⇔
\lrArr	⇔
\lrarr	↔
\Lsh	↰
\mapsto	↦
\nearrow	↗
\nleftarrow	↚
\nLeftarrow	⇍
\nleftrightarrow	↮
\nLeftrightarrow	⇎
\nrightarrow	↛
\nRightarrow	⇏
\nwarrow	↖
\Rarr	⇒
\rArr	⇒
\rarr	→
\restriction	↾
\rightarrow	→
\Rightarrow	⇒
\rightarrowtail	↣
\rightharpoondown	⇁
\rightharpoonup	⇀
\rightleftarrows	⇄
\rightleftharpoons	⇌
\rightrightarrows	⇉
\rightsquigarrow	⇝
\Rrightarrow	⇛
\Rsh	↱
\searrow	↘
